id,name,id_2,startDay,startTime,endDay,endTime,Car,Hov2,Hov3,Truck,Motorcycle,Rv,ablePri2AxlesAuto,ablePri3AxlesAuto,ablePri4AxlesAuto,ablePri2AxlesDualTire,ablePri3AxlesDualTire,ablePri4AxlesDualTire,ablePri2AxlesTNC,ablePri2AxlesTNCPool,ablePri2AxlesTaxi,ablePri2AxlesTaxiPool,ableSec2AxlesAuto,ableSec3AxlesAuto,ableSec4AxlesAuto,ableSec2AxlesDualTire,ableSec3AxlesDualTire,ableSec4AxlesDualTire,ableSec2AxlesTNC,ableSec2AxlesTNCPool,ableSec2AxlesTaxi,ableSec2AxlesTaxiPool,able22AxlesAuto,able23AxlesAuto,road,date
1530006,Golden,-1,Monday,00:00:00,Friday,05:00:00,7.7,5.7,5.7,7.7,7.7,7.7,126,52,30,12,249,213,222,214,8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,SR 101,01-12-1955
1530006,Golden,-1,Monday,05:00:00,Tuesday,10:00:00,7.7,7.7,7.7,7.7,7.7,7.7,110,56,31,13,205,239,200,255,8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,SR 101,01-11-1955
1036000,Orange,-1,Monday,19:00:00,Friday,23:59:59,2.92,2.92,2.92,2.92,2.92,2.92,119,60,26,16,239,249,224,202,7,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,SR 133,04-12-1955
1036000,Orange,-1,Saturday,00:00:00,Sunday,23:59:59,3.19,3.19,3.19,3.19,3.19,3.19,,64,32,16,221,213,211,215,8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,SR 133,01-12-1955
1036000,Orange,-1,Monday,00:00:00,Friday,05:00:00,3.36,3.36,3.36,3.36,3.36,3.36,123,50,21,16,208,230,220,231,6,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,SR 133,01-11-1955
1036000,Orange,-1,Monday,05:00:00,Friday,10:00:00,3.19,3.19,3.19,3.19,3.19,3.19,119,57,31,10,210,201,250,243,7,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,SR 133,04-12-1955
1036000,Orange,-1,Monday,10:00:00,Friday,15:00:00,2.92,2.92,2.92,2.92,2.92,2.92,106,54,31,13,240,211,218,200,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,SR 133,01-12-1955
1036000,Orange,-1,Monday,15:00:00,Friday,19:00:00,2.92,2.92,2.92,2.92,2.92,2.92,,64,32,16,240,228,241,234,8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,SR 133,01-11-1955
1036001,Orange,-1,Monday,19:00:00,Friday,23:59:59,2.92,2.92,2.92,2.92,2.92,2.92,110,57,30,13,254,205,250,216,8,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,SR 133,04-12-1955
1036001,Orange,-1,Saturday,00:00:00,Sunday,23:59:59,3.19,3.19,3.19,3.19,3.19,3.19,103,52,25,10,254,209,228,236,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,SR 133,01-12-1955
1036001,Orange,-1,Saturday,00:00:00,Sunday,23:59:59,3.36,3.36,3.36,3.36,3.36,3.36,103,52,25,10,254,209,228,236,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,SR 133,01-11-1955
1036001,Orange,-1,Monday,05:00:00,Wednesday,10:00:00,3.19,3.19,3.19,3.19,3.19,3.19,127,52,23,13,212,225,255,205,7,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,SR 133,04-12-1955
1036001,Orange,-1,Monday,10:00:00,Friday,15:00:00,2.92,2.92,2.92,2.92,2.92,2.92,119,59,31,13,223,211,212,237,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,SR 133,01-12-1955
1036001,Orange,-1,Thursday,15:00:00,Friday,19:00:00,2.92,2.92,2.92,2.92,2.92,2.92,126,57,31,14,200,210,231,240,7,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,SR 133,01-11-1955
1036002,Irvine,-1,Monday,19:00:00,Friday,23:59:59,2.04,2.04,2.04,2.04,2.04,2.04,128,64,32,16,221,252,226,221,8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,SR 133,04-12-1955
1036003,Irvine,-1,Saturday,00:00:00,Sunday,23:59:59,2.04,2.04,2.04,2.04,2.04,2.04,115,63,29,12,231,248,227,207,8,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,SR 133,01-12-1955
1038000,Windy,-1,Monday,00:00:00,Friday,05:00:00,3.74,3.74,3.74,3.74,3.74,3.74,123,58,25,11,202,255,219,248,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,SR 241,01-11-1955
1038000,Windy,-1,Monday,05:00:00,Friday,10:00:00,4.03,4.03,4.03,4.03,4.03,4.03,126,59,29,13,237,254,231,222,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,SR 241,04-12-1955
1038000,Windy,-1,Monday,10:00:00,Friday,15:00:00,4.23,4.23,4.23,4.23,4.23,4.23,126,53,26,12,245,238,200,209,6,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,SR 241,01-12-1955
1038000,Windy,-1,Tuesday,15:00:00,Saturday,19:00:00,4.03,4.03,4.03,4.03,4.03,4.03,119,64,28,15,235,243,224,204,8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,SR 241,01-11-1955
1038000,Windy,-1,Monday,15:00:00,Friday,19:00:00,3.74,3.74,3.74,3.74,3.74,3.74,119,64,28,15,235,243,224,204,8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,SR 241,04-12-1955
1038000,Windy,-1,Monday,19:00:00,Friday,23:59:59,3.74,3.74,3.74,3.74,3.74,3.74,128,64,32,16,223,217,203,229,8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,SR 241,01-12-1955
1038001,Windy,-1,Saturday,00:00:00,Sunday,23:59:59,3.74,3.74,3.74,3.74,3.74,3.74,117,57,29,10,220,253,200,236,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,SR 241,01-11-1955
1038001,Windy,-1,Monday,00:00:00,Friday,05:00:00,4.03,4.03,4.03,4.03,4.03,4.03,126,52,30,12,249,213,222,214,8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,SR 241,04-12-1955
1038001,Windy,-1,Monday,05:00:00,Tuesday,10:00:00,4.23,4.23,4.23,4.23,4.23,4.23,110,56,31,13,205,239,200,255,8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,SR 241,01-12-1955
1038001,Windy,-1,Wednesday,10:00:00,Friday,15:00:00,4.03,4.03,4.03,4.03,4.03,4.03,105,53,23,16,232,251,242,239,8,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,SR 241,01-11-1955
1038001,Windy,-1,Monday,15:00:00,Friday,19:00:00,3.74,3.74,3.74,3.74,3.74,3.74,127,56,24,15,212,236,247,225,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,SR 241,04-12-1955
1038001,Windy,-1,Monday,19:00:00,Friday,23:59:59,3.74,3.74,3.74,3.74,3.74,3.74,119,60,26,16,239,249,224,202,7,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,SR 241,01-12-1955
1038002,Tomato,-1,Saturday,00:00:00,Sunday,23:59:59,3.59,3.59,3.59,3.59,3.59,3.59,,64,32,16,221,213,211,215,8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,SR 241,01-11-1955
1038002,Tomato,-1,Monday,00:00:00,Friday,05:00:00,,3.85,3.85,3.85,3.85,3.85,123,50,21,16,208,230,220,231,6,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,SR 241,04-12-1955
1038002,Tomato,-1,Monday,05:00:00,Friday,10:00:00,4.04,4.04,4.04,4.04,4.04,4.04,119,57,31,10,210,201,250,243,7,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,SR 241,01-12-1955
1038002,Tomato,-1,Monday,10:00:00,Friday,15:00:00,3.85,3.85,3.85,3.85,3.85,3.85,106,54,31,13,240,211,218,200,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,SR 241,01-11-1955
1038002,Tomato,-1,Monday,15:00:00,Friday,19:00:00,3.59,3.59,3.59,3.59,3.59,3.59,,64,32,16,240,228,241,234,8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,SR 241,04-12-1955
1038002,Tomato,-1,Monday,19:00:00,Friday,23:59:59,3.59,3.59,3.59,3.59,3.59,3.59,110,57,30,13,254,205,250,216,8,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,SR 241,01-12-1955
1038003,Tomato,-1,Saturday,00:00:00,Sunday,23:59:59,3.59,3.59,3.59,3.59,3.59,3.59,103,52,25,10,254,209,228,236,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,SR 241,01-11-1955
1038003,Tomato,-1,Saturday,00:00:00,Sunday,23:59:59,3.85,3.85,3.85,3.85,3.85,3.85,103,52,25,10,254,209,228,236,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,SR 241,04-12-1955
1038003,Tomato,-1,Monday,05:00:00,Wednesday,10:00:00,4.04,4.04,4.04,4.04,4.04,4.04,127,52,23,13,212,225,255,205,7,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,SR 241,01-12-1955
1038003,Tomato,-1,Monday,10:00:00,Friday,15:00:00,3.85,3.85,3.85,3.85,3.85,3.85,119,59,31,13,223,211,212,237,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,SR 241,01-11-1955
1038003,Tomato,-1,Thursday,15:00:00,Friday,19:00:00,3.59,3.59,3.59,3.59,3.59,3.59,126,57,31,14,200,210,231,240,7,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,SR 241,04-12-1955
1038003,Tomato,-1,Monday,19:00:00,Friday,23:59:59,3.59,3.59,3.59,3.59,3.59,3.59,128,64,32,16,221,252,226,221,8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,SR 241,01-12-1955
1038004,Portola,-1,Saturday,00:00:00,Sunday,23:59:59,2.59,2.59,2.59,2.59,2.59,2.59,115,63,29,12,231,248,227,207,8,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,SR 241,01-11-1955
1038004,Portola,-1,Monday,00:00:00,Friday,05:00:00,3.04,3.04,3.04,3.04,3.04,3.04,123,58,25,11,202,255,219,248,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,SR 241,04-12-1955
1038004,Portola,-1,Monday,05:00:00,Friday,10:00:00,3.04,3.04,3.04,3.04,3.04,3.04,126,59,29,13,237,254,231,222,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,SR 241,01-12-1955
1038004,Portola,-1,Monday,10:00:00,Friday,15:00:00,3.04,3.04,3.04,3.04,3.04,3.04,126,53,26,12,245,238,200,209,6,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,SR 241,01-11-1955
1038004,Portola,-1,Tuesday,15:00:00,Saturday,19:00:00,2.59,2.59,2.59,2.59,2.59,2.59,119,64,28,15,235,243,224,204,8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,SR 241,04-12-1955
1038004,Portola,-1,Monday,15:00:00,Friday,19:00:00,2.59,2.59,2.59,2.59,2.59,2.59,119,64,28,15,235,243,224,204,8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,SR 241,01-12-1955
1038005,Portola,-1,Monday,19:00:00,Friday,23:59:59,2.59,2.59,2.59,2.59,2.59,2.59,128,64,32,16,223,217,203,229,8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,SR 241,01-11-1955
1038005,Portola,-1,Saturday,00:00:00,Sunday,23:59:59,3.04,3.04,3.04,3.04,3.04,3.04,117,57,29,10,220,253,200,236,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,SR 241,04-12-1955
1038005,Portola,-1,Monday,00:00:00,Friday,05:00:00,3.04,3.04,3.04,3.04,3.04,3.04,126,52,30,12,249,213,222,214,8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,SR 241,01-12-1955
1038005,Portola,-1,Monday,05:00:00,Tuesday,10:00:00,3.04,3.04,3.04,3.04,3.04,3.04,110,56,31,13,205,239,200,255,8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,SR 241,01-11-1955
1038005,Portola,-1,Wednesday,10:00:00,Friday,15:00:00,2.59,2.59,2.59,2.59,2.59,2.59,105,53,23,16,232,251,242,239,8,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,SR 241,04-12-1955
1038005,Portola,-1,Monday,15:00:00,Friday,19:00:00,2.59,2.59,2.59,2.59,2.59,2.59,127,56,24,15,212,236,247,225,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,SR 241,01-12-1955
1038006,Alton,-1,Monday,19:00:00,Friday,23:59:59,2.59,2.59,2.59,2.59,2.59,2.59,119,60,26,16,239,249,224,202,7,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,SR 241,01-11-1955
1038007,Alton,-1,Saturday,00:00:00,Sunday,23:59:59,2.59,2.59,2.59,2.59,2.59,2.59,,64,32,16,221,213,211,215,8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,SR 241,04-12-1955
1038008,Portola,-1,Monday,00:00:00,Friday,05:00:00,1.74,1.74,1.74,1.74,1.74,1.74,123,50,21,16,208,230,220,231,6,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,SR 241,01-12-1955
1038009,Portola,-1,Monday,05:00:00,Friday,10:00:00,1.74,1.74,1.74,1.74,1.74,1.74,119,57,31,10,210,201,250,243,7,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,SR 241,01-11-1955
1038010,Los,-1,Monday,10:00:00,Friday,15:00:00,1.64,1.64,1.64,1.64,1.64,1.64,106,54,31,13,240,211,218,200,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,SR 241,04-12-1955
1038011,Los,-1,Monday,15:00:00,Friday,19:00:00,1.64,1.64,1.64,1.64,1.64,1.64,,64,32,16,240,228,241,234,8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,SR 241,01-12-1955
1038012,Antonio,-1,Monday,19:00:00,Friday,23:59:59,1.74,1.74,1.74,1.74,1.74,1.74,110,57,30,13,254,205,250,216,8,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,SR 241,01-11-1955
1038013,Antonio,-1,Saturday,00:00:00,Sunday,23:59:59,1.74,1.74,1.74,1.74,1.74,1.74,103,52,25,10,254,209,228,236,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,SR 241,04-12-1955
1038014,Oso,-1,Saturday,00:00:00,Sunday,23:59:59,2.49,2.49,2.49,2.49,2.49,2.49,103,52,25,10,254,209,228,236,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,SR 241,01-12-1955
1038015,Oso,-1,Monday,05:00:00,Wednesday,10:00:00,,2.49,2.49,2.49,2.49,2.49,127,52,23,13,212,225,255,205,7,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,SR 241,01-11-1955
1037004,Irvine,-1,Monday,10:00:00,Friday,15:00:00,2.59,2.59,2.59,2.59,2.59,2.59,119,59,31,13,223,211,212,237,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,SR 261,04-12-1955
1037004,Irvine,-1,Thursday,15:00:00,Friday,19:00:00,3.04,3.04,3.04,3.04,3.04,3.04,126,57,31,14,200,210,231,240,7,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,SR 261,01-12-1955
1037004,Irvine,-1,Monday,19:00:00,Friday,23:59:59,3.19,3.19,3.19,3.19,3.19,3.19,128,64,32,16,221,252,226,221,8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,SR 261,01-11-1955
1037004,Irvine,-1,Saturday,00:00:00,Sunday,23:59:59,3.04,3.04,3.04,3.04,3.04,3.04,115,63,29,12,231,248,227,207,8,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,SR 261,04-12-1955
1037004,Irvine,-1,Monday,00:00:00,Friday,05:00:00,2.59,2.59,2.59,2.59,2.59,2.59,123,58,25,11,202,255,219,248,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,SR 261,01-12-1955
1037004,Irvine,-1,Monday,05:00:00,Friday,10:00:00,2.59,2.59,2.59,2.59,2.59,2.59,126,59,29,13,237,254,231,222,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,SR 261,01-11-1955
1037005,Irvine,-1,Monday,10:00:00,Friday,15:00:00,2.59,2.59,2.59,2.59,2.59,2.59,126,53,26,12,245,238,200,209,6,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,SR 261,04-12-1955
